,"Dallas, TX","Birmingham, AL","Atlanta, GA","Nashville, TN","Riverside, CA","Memphis, TN","OK, OK","LV, NV","Detroit, MI"
n,0.0028845460445662365,0.0039656311962987445,0.008511955428306121,0.006374501992031873,0.007123370718399515,0.007042253521126761,0.00937964338781575,0.0011652748106428432,0.006942722539052815
m,0.0016510953608247423,0.002165467167696325,0.00946617008069522,0.004453483886804362,0.004884706558436894,0.003752488895696125,0.0087040153883145,0.0007886801206216655,0.006655207369209749
k_avg,0.5724657916783021,0.5461334618164297,1.1120581599398345,0.6986201888162672,0.685781990521327,0.5327751196172249,0.928016571724495,0.6767797419971333,0.9584110903758999
edge_length_total,0.038673300218028284,0.0385951970490827,0.050416825138662864,0.07084723858379562,0.06994874151587235,0.04967893295257158,0.10007555702083154,0.0276422595556612,0.10452495727612615
edge_length_avg,23.422741433021805,17.82286863685595,5.3258919169369445,15.908365034906566,14.319886642954224,13.238863966639286,11.497409945808096,35.049034041402514,15.705414091470951
streets_per_node_avg,1.3712154453707768,1.47531914893617,1.3909774436090225,1.2912494558119285,1.3396145610278374,1.419889502762431,1.4635848233754905,1.1910984075132707,1.214729370008873
intersection_count,0.002862307924073516,0.00411635565312843,0.008415147265077139,0.0059099863615699345,0.007136060894386299,0.007316262055204523,0.009397775220560031,0.0009289843104872006,0.006328565236237538
street_length_total,0.035462655397305365,0.0350866197208688,0.046934434160206144,0.07943899933527329,0.07985664118751738,0.04823794865630413,0.10071284054440126,0.02491363431449042,0.08990874461076102
street_segment_count,0.0017821908217172681,0.0019289685691591966,0.008664557832485216,0.004820194076235175,0.005748628168278025,0.0038356164383561643,0.008462852957929855,0.00079923273657289,0.005675536227611115
street_length_avg,19.898125923190545,18.189300151591713,5.416825195518917,16.48067004816504,13.891378950195458,12.576117363867022,11.900755168571783,31.1717706013363,15.84139635776623
